variable,level,count,percentage,attrition_rate
NumCompaniesWorked,9,52,3.537414965986395,23.076923076923077
NumCompaniesWorked,8,49,3.3333333333333335,12.244897959183673
OverTime,No,1054,71.70068027210884,10.436432637571158
OverTime,Yes,416,28.29931972789116,30.528846153846157
PercentSalaryHike,11,210,14.285714285714285,19.523809523809526
PercentSalaryHike,13,209,14.217687074829932,16.267942583732058
PercentSalaryHike,14,201,13.673469387755102,11.940298507462686
PercentSalaryHike,12,198,13.46938775510204,16.666666666666664
PercentSalaryHike,15,101,6.870748299319727,17.82178217821782
PercentSalaryHike,18,89,6.054421768707483,14.606741573033707
PercentSalaryHike,17,82,5.578231292517007,17.073170731707318
PercentSalaryHike,16,78,5.3061224489795915,17.94871794871795
PercentSalaryHike,19,76,5.170068027210884,11.842105263157894
PercentSalaryHike,22,56,3.8095238095238098,21.428571428571427
PercentSalaryHike,20,55,3.741496598639456,12.727272727272727
PercentSalaryHike,21,48,3.2653061224489797,10.416666666666668
PercentSalaryHike,23,28,1.9047619047619049,21.428571428571427
PercentSalaryHike,24,21,1.4285714285714286,28.57142857142857
PercentSalaryHike,25,18,1.2244897959183674,5.555555555555555
PerformanceRating,3,1244,84.62585034013605,16.077170418006432
PerformanceRating,4,226,15.374149659863946,16.371681415929203
RelationshipSatisfaction,3,459,31.22448979591837,15.468409586056644
RelationshipSatisfaction,4,432,29.38775510204082,14.814814814814813
RelationshipSatisfaction,2,303,20.612244897959183,14.85148514851485
RelationshipSatisfaction,1,276,18.775510204081634,20.652173913043477
StockOptionLevel,0,631,42.925170068027214,24.405705229793977
StockOptionLevel,1,596,40.54421768707483,9.395973154362416
StockOptionLevel,2,158,10.748299319727892,7.59493670886076
StockOptionLevel,3,85,5.782312925170068,17.647058823529413
TrainingTimesLastYear,2,547,37.2108843537415,17.915904936014627
TrainingTimesLastYear,3,491,33.40136054421769,14.052953156822811
TrainingTimesLastYear,4,123,8.36734693877551,21.138211382113823
TrainingTimesLastYear,5,119,8.095238095238095,11.76470588235294
TrainingTimesLastYear,1,71,4.829931972789116,12.676056338028168
TrainingTimesLastYear,6,65,4.421768707482993,9.230769230769232
TrainingTimesLastYear,0,54,3.6734693877551026,27.77777777777778
WorkLifeBalance,3,893,60.74829931972789,14.221724524076148
WorkLifeBalance,2,344,23.401360544217688,16.86046511627907
WorkLifeBalance,4,153,10.408163265306122,17.647058823529413
WorkLifeBalance,1,80,5.442176870748299,31.25
YearsInCurrentRole,2,372,25.30612244897959,18.27956989247312
YearsInCurrentRole,0,244,16.598639455782312,29.918032786885245
YearsInCurrentRole,7,222,15.10204081632653,13.963963963963963
YearsInCurrentRole,3,135,9.183673469387756,11.851851851851853
YearsInCurrentRole,4,104,7.07482993197279,14.423076923076922
YearsInCurrentRole,8,89,6.054421768707483,7.865168539325842
YearsInCurrentRole,9,67,4.557823129251701,8.955223880597014
YearsInCurrentRole,1,57,3.877551020408163,19.298245614035086
YearsInCurrentRole,6,37,2.517006802721088,5.405405405405405
YearsInCurrentRole,5,36,2.4489795918367347,2.7777777777777777
YearsInCurrentRole,10,29,1.9727891156462583,6.896551724137931
YearsInCurrentRole,11,22,1.4965986394557822,0.0
YearsInCurrentRole,13,14,0.9523809523809524,7.142857142857142
YearsInCurrentRole,14,11,0.7482993197278911,9.090909090909092
YearsInCurrentRole,12,10,0.6802721088435374,10.0
YearsInCurrentRole,15,8,0.5442176870748299,25.0
YearsInCurrentRole,16,7,0.4761904761904762,0.0
YearsInCurrentRole,17,4,0.27210884353741494,0.0
YearsInCurrentRole,18,2,0.13605442176870747,0.0
YearsSinceLastPromotion,0,581,39.523809523809526,18.9328743545611
YearsSinceLastPromotion,1,357,24.285714285714285,13.725490196078432
YearsSinceLastPromotion,2,159,10.816326530612246,16.9811320754717
YearsSinceLastPromotion,7,76,5.170068027210884,21.052631578947366
YearsSinceLastPromotion,4,61,4.149659863945578,8.19672131147541
YearsSinceLastPromotion,3,52,3.537414965986395,17.307692307692307
YearsSinceLastPromotion,5,45,3.061224489795918,4.444444444444445
YearsSinceLastPromotion,6,32,2.1768707482993195,18.75
YearsSinceLastPromotion,11,24,1.6326530612244898,8.333333333333332
YearsSinceLastPromotion,8,18,1.2244897959183674,0.0
YearsSinceLastPromotion,9,17,1.1564625850340136,23.52941176470588
YearsSinceLastPromotion,15,13,0.8843537414965987,23.076923076923077
YearsSinceLastPromotion,13,10,0.6802721088435374,20.0
YearsSinceLastPromotion,12,10,0.6802721088435374,0.0
YearsSinceLastPromotion,14,9,0.6122448979591837,11.11111111111111
YearsSinceLastPromotion,10,6,0.40816326530612246,16.666666666666664
YearsWithCurrManager,2,344,23.401360544217688,14.534883720930234
YearsWithCurrManager,0,263,17.891156462585034,32.31939163498099
YearsWithCurrManager,7,216,14.69387755102041,14.351851851851851
YearsWithCurrManager,3,142,9.659863945578232,13.380281690140844
YearsWithCurrManager,8,107,7.278911564625851,9.345794392523365
YearsWithCurrManager,4,98,6.666666666666667,11.224489795918368
YearsWithCurrManager,1,76,5.170068027210884,14.473684210526317
YearsWithCurrManager,9,64,4.353741496598639,9.375
YearsWithCurrManager,5,31,2.1088435374149657,12.903225806451612
YearsWithCurrManager,6,29,1.9727891156462583,13.793103448275861
YearsWithCurrManager,10,27,1.8367346938775513,11.11111111111111
YearsWithCurrManager,11,22,1.4965986394557822,4.545454545454546
YearsWithCurrManager,12,18,1.2244897959183674,0.0
YearsWithCurrManager,13,14,0.9523809523809524,0.0
YearsWithCurrManager,17,7,0.4761904761904762,0.0
YearsWithCurrManager,15,5,0.3401360544217687,0.0
YearsWithCurrManager,14,5,0.3401360544217687,40.0
YearsWithCurrManager,16,2,0.13605442176870747,0.0
